Server_ID,Region,CPU_Usage_%,Hourly_Cost_USD,AI_Recommendation
Node_0,London,39.249135161326606,2.3185607664160743,MAINTAIN
Node_1,New York,52.11990880602261,2.4550456853254685,MAINTAIN
Node_2,London,23.95590323551354,3.556577434977213,SHUTDOWN
Node_3,London,96.558170632227,1.5964583062993307,MAINTAIN
Node_4,London,40.28875475203603,1.4219631504933554,MAINTAIN
Node_5,Cape Town,56.80403896115208,4.946019709694593,MAINTAIN
Node_6,Cape Town,92.82606312122367,3.2624004759310914,MAINTAIN
Node_7,Cape Town,58.46108435341988,2.8602783080966256,MAINTAIN
Node_8,London,43.94555315029441,2.9064916275994412,MAINTAIN
Node_9,Cape Town,25.791594534799636,1.890293810631664,SHUTDOWN
Node_10,Cape Town,22.781189098141155,4.784561824976712,SHUTDOWN
Node_11,Cape Town,82.89208130972398,2.5765091950597903,MAINTAIN
Node_12,New York,65.79367664058171,1.976811978384064,MAINTAIN
Node_13,London,15.615312488860432,2.5953271164590945,SHUTDOWN
Node_14,Cape Town,68.36376672128875,4.223198293222897,MAINTAIN
Node_15,London,41.278576271228516,0.5352331185566219,MAINTAIN
Node_16,Cape Town,63.82088174822357,3.128569359503482,MAINTAIN
Node_17,London,86.48505537692218,4.418385891557808,MAINTAIN
Node_18,New York,62.25365207216891,4.804034816027338,MAINTAIN
Node_19,Cape Town,48.3303472853554,1.3920984839048696,MAINTAIN
Node_20,London,34.869290522440565,4.023379177105577,MAINTAIN
Node_21,New York,73.88766441117154,3.9559145676202103,MAINTAIN
Node_22,Cape Town,26.334812093082235,0.9930096793219593,SHUTDOWN
Node_23,Cape Town,37.127263312735465,3.188575270392129,MAINTAIN
Node_24,London,31.844824885727913,1.1884230591090836,MAINTAIN
Node_25,New York,88.76966158148926,3.1236031353817673,MAINTAIN
Node_26,New York,63.83860261543226,1.311952505363154,MAINTAIN
Node_27,Cape Town,56.16065472363751,2.890122096263216,MAINTAIN
Node_28,Cape Town,94.55108107492931,0.9934668767744832,MAINTAIN
Node_29,London,91.0429219077356,0.5873794118138451,MAINTAIN
Node_30,London,11.75204730779145,3.3831299484083535,SHUTDOWN
Node_31,Cape Town,53.94841364902946,3.1911055771322285,MAINTAIN
Node_32,New York,93.98024447463958,3.239674133922266,MAINTAIN
Node_33,Cape Town,38.818381351367336,0.9338339243878001,MAINTAIN
Node_34,Cape Town,60.88019132001976,2.5523210247333767,MAINTAIN
Node_35,New York,54.06037229484546,4.405888579423016,MAINTAIN
Node_36,Cape Town,47.033501961640916,4.328083787521846,MAINTAIN
Node_37,Cape Town,11.193350504635976,3.2609603943982366,SHUTDOWN
Node_38,New York,59.71692921398857,2.0929938144430116,MAINTAIN
Node_39,New York,50.54975731620842,3.583279026831622,MAINTAIN
Node_40,London,55.57132445677031,4.663944811975005,MAINTAIN
Node_41,Cape Town,26.463376307790806,1.9739633429925942,SHUTDOWN
Node_42,New York,89.37103753994533,0.9716264622042319,MAINTAIN
Node_43,Cape Town,92.66966546133223,3.1600573314365117,MAINTAIN
Node_44,Cape Town,51.10069116870499,3.848326425413084,MAINTAIN
Node_45,Cape Town,58.050133675111006,4.64201576226444,MAINTAIN
Node_46,New York,58.41690225003559,3.123021252600833,MAINTAIN
Node_47,Cape Town,49.10098692015905,3.8286760935898663,MAINTAIN
Node_48,London,61.88106181147007,1.488987062980007,MAINTAIN
Node_49,Cape Town,41.392212927295574,0.7452626404671979,MAINTAIN
Node_50,London,21.96899333927773,0.6140466478966013,SHUTDOWN
Node_51,London,42.82709743545535,1.4132481202969005,MAINTAIN
Node_52,Cape Town,78.66256437445074,4.877907261480706,MAINTAIN
Node_53,Cape Town,23.03945478105816,4.143354641193169,SHUTDOWN
Node_54,Cape Town,31.409482245820143,3.1472921074475115,MAINTAIN
Node_55,New York,77.35662008272385,2.914567222297223,MAINTAIN
Node_56,New York,56.133606463724526,3.02736711662119,MAINTAIN
Node_57,New York,93.10402358949149,2.9235131685859685,MAINTAIN
Node_58,Cape Town,59.33279144478254,1.1845599474537025,MAINTAIN
Node_59,Cape Town,55.78211508989807,2.8749593347374196,MAINTAIN
Node_60,Cape Town,64.08718257963781,2.801464348969223,MAINTAIN
Node_61,New York,99.23758013200573,1.9783622507314829,MAINTAIN
Node_62,New York,36.09783726674786,2.319259758223953,MAINTAIN
Node_63,New York,32.9902979664367,2.275162363520608,MAINTAIN
Node_64,New York,38.138905716291376,3.2720826489738704,MAINTAIN
Node_65,New York,57.71682378496203,1.8426718571277831,MAINTAIN
Node_66,London,79.09721045778335,4.289338637521092,MAINTAIN
Node_67,New York,25.598230227748992,1.2767172657113914,SHUTDOWN
Node_68,London,35.1597164932075,2.5392199472700336,MAINTAIN
Node_69,London,86.0230919053841,0.8691118826227202,MAINTAIN
Node_70,London,28.487854746442835,1.2550661010737352,SHUTDOWN
Node_71,New York,47.99426167535507,1.7224663105024731,MAINTAIN
Node_72,New York,36.25443422466298,4.7802423685832105,MAINTAIN
Node_73,New York,85.54332591046354,3.1959984249289786,MAINTAIN
